Title,Publication Date,Content,Newspaper Name
Astronauts on Gaganyaan mission trained at same centre in Russia where Rakesh Sharma underwent training,"Updated: Feb 27, 2024, 15:41 IST","NEW DELHI: The first four astronauts for India's groundbreaking human spaceflight initiative, Gaganyaan, underwent comprehensive training at Russia's Yuri Gagarin Cosmonaut Training Center — a historical centre where Rakesh Sharma, India's pioneer in space, had previously trained in 1984.
PM Modi inaugurates 3 major ISRO projects: India to have its own space station by 2025

Located in Star City, just north of Moscow, the Gagarin Cosmonaut Training Center is renowned for its cutting-edge facilities, encompassing integrated simulators and diverse survival training scenarios, including those in mountains, woodlands, marshes, deserts, the Arctic, and at sea.

First and only Indian in space
SPONSORED LINKS 
YOU MAY LIKE
Hackers can take over your account - This is what you can do
Kaspersky
  by Taboola 
Wing Commander Rakesh Sharma flew aboard the Soyuz T-11 on April 3, 1984, as part of the Soviet Interkosmos programme. He is the only Indian citizen to travel in space.
The Soyuz T-11 spacecraft carrying cosmonauts, including Sharma, docked with the Salyut 7 Orbital Station. Sharma spent 7 days, 21 hours, and 40 minutes aboard the Salyut 7 during which his team conducted scientific and technical studies which included forty-three experimental sessions. His work was mainly in the fields of bio-medicine and remote sensing.

'Sare Jahan Se Accha'
The crew held a joint television news conference with officials in Moscow and then PM Indira Gandhi.
When Indira Gandhi asked Sharma how India looked from outer space, he replied, ""Sare Jahan Se Accha"" (the best in the world)"".
With Sharma's voyage aboard Soyuz T-11, India became the 14th nation to send a man to outer space.
Four astronauts named for Gaganyaan mission
During Prime Minister Narendra Modi's visit to Kerala on Tuesday, he revealed the names of the selected Indian Air Force pilots set to embark on the Gaganyaan mission: Group Captain Prashanth Nair, Group Captain Ajit Krishnan, Group Captain Angad Pratap, and Wing Commander Shubhanshu Shukla.
The announcement took place at the Vikram Sarabhai Space Centre, where PM Modi not only reviewed the ongoing progress of the Gaganyaan mission but also conferred 'astronaut wings' upon the designated crew.

Gaganyaan, scheduled for launch in 2024-25, holds the objective of showcasing India's human spaceflight capabilities by sending a crew into a 400 km orbit for a three-day mission and safely returning them to Earth—landing in Indian sea waters.
The mission necessitates the development of critical technologies, including a human-rated launch vehicle, life support systems, and provisions for crew safety during emergencies.
In his address at the Vikram Sarabhai Space Centre, PM Modi highlighted the significant strides made by India in space exploration and underscored the transformative role of the Gaganyaan project in elevating the nation's standing in the global space sector.
The mission's success will not only mark a historic achievement for India but also contribute to inspiring a scientific temperament among the country's youth.

The year 2023 witnessed India's prowess in space exploration with the successful soft landing of Chandrayaan-3 on the Moon's South Pole and the launch of Aditya-L1, the country's maiden solar mission. These accomplishments not only solidified India's position in the global space economy but also acted as catalysts for the burgeoning private space sector within the country.
Looking ahead, India's ambitious plans include the establishment of the 'Bharatiya Antariksha Station' by 2035 and sending the first Indian astronaut to the Moon by 2040.
These visionary initiatives signify India's commitment to advancing its capabilities in space exploration and cementing its position as a formidable player in the realm of cosmic exploration.
(With inputs from agencies)
Explore Your Financial Landscape with Personalized Credit Insights.",Times Of India
BJP claims Himachal CM Sukhu has lost majority amid reports of cross-voting by Congress MLAs in Rajya Sabha election,"Updated: Feb 27, 2024, 16:08 IST","NEW DELHI: The BJP on Tuesday claimed that Himachal Pradesh chief minister Sukhvinder Singh Sukhu has lost majority amid reports that several Congress MLAs had cross-voted in the election for lone Rajya Sabha seat from the state. TV reports claim as many as 9 Congress MLAs may have cross-voted in favour of BJP in the Rajya Sabha elections.
The Congress has a comfortable majority of 40 in the 68-member House, while BJP has a strength of 25. The grand old party has fielded senior leader Abhishek Manu Singhvi, who is pitted against BJP's Harsh Mahajan. Mahajan is a three-time Congress MLA and former minister who resigned from the Congress in September 2022 and joined the BJP.
Leader of opposition in Himachal assembly Jairam Thakur claimed that the Congress government had lost majority in the state. ""Budget will be presented tomorrow. We will discuss budget tomorrow and then we will see the situation there. But I can see that the government has lost the majority,"" Jairam Thakur said.
CM Sukhu alleged that the BJP had tried to threaten the Congress leaders. ""We issued Whip, they didn't have the majority. Some MLAs did not come for voting despite the whip. We will decide what has to be done with those MLAs. In a way BJP has tried to threaten our leaders and Congress strongly condemns this,"" Sukhu said.
Explore Your Financial Landscape with Personalized Credit Insights.",Times Of India
Tax-free meal benefits: Paytm's exit from employee benefits market may open door for competitors - here’s how,"Feb 27, 2024, 17:26 IST","Paytm crisis: Paytm's impending exit from the employee benefits market due to regulatory actions against its payments bank and mobile wallet has paved the way for other players like Pluxee (formerly Sodexo), Zaggle, and banks to grow their presence in this sector.
ET quoted a senior fintech executive saying that large corporations are seeking alternative options for meal benefits due to the upcoming halt in services for Paytm Payments Bank and its wallet after March 15.

Zaggle, a listed startup, aims to onboard 100-150 new corporate clients by the end of the next financial year. In recent months, the company has already begun partnerships with notable entities such as IT company Wipro, staffing solutions provider Quess Corp, private sector lender Axis Bank, and more.
Raj Narayanam, Executive Chairman of Zaggle Prepaid Ocean Services, noted, “In the meal benefit space, we have seen a massive uptick in demand and given the situation with competition, we have made steady inroads by adding new clients.”
SPONSORED LINKS 
YOU MAY LIKE
A stranger listened to me via my laptop mic. Now I do this
Kaspersky
  by Taboola 

He did not reveal the specific companies that transitioned from Paytm to Zaggle after January 31 when the Reserve Bank of India announced restrictions on Paytm Payments Bank.
Zaggle collaborates with banks such as Kotak Mahindra Bank, Yes Bank, ICICI Bank, and IndusInd Bank to provide prepaid payment services to its corporate clients. In addition to meal vouchers and employee benefits, Zaggle also offers companies a spending management tool.

During the first nine months of the current fiscal year, the company recorded a net profit of Rs 24.8 crore on operational revenue of Rs 502 crore. Presently, its market capitalization stands at around Rs 4,200 crore.
ALSO READ | Paytm crisis: Why did Vijay Shekhar Sharma step down from Paytm Payments Bank board?
Industry insiders told the financial daily that Pluxee, the employee benefit business recently hived off from Sodexo, is also aiming to capitalise on new opportunities arising from the developments at Paytm Payments Bank.
A Pluxee spokesperson stated that its food wallet business has been experiencing substantial year-on-year growth, pre-dating the Paytm issue. However, they declined to comment on any specific increase in business following January 31.
Queries sent via email to Paytm received no response.
Changing landscape of employee benefits
Disruptions in the employee benefits space have highlighted the significance of tax-free meal benefits under India's tax regulations. Many companies provide a portion of employees' salaries as tax-free benefits, loading the funds into prepaid wallets linked to cards for transactions. These cards are restricted to use at merchant outlets selling food and beverages.
Various players, including French majors like Sodexo and Edenred, along with fintech startups like Zeta, have been key players in this domain. However, recent shifts, including Edenred India relinquishing its licence and Zeta selling its meal benefit business to Sodexo, have reshaped the competitive landscape.
HDFC Bank provides Foodplus meal cards, and ICICI Bank offers its meal cards. Sodexo recently spun off its meal benefits business as Pluxee. In recent years, Paytm has become a dominant fintech player in this sector.
The fintech executive mentioned earlier stated, “Paytm with its superior wallet offering and acceptance across the country had managed to grab a large market share in this business and was second competing with Sodexo, but now the leader board is set to get disrupted; Zaggle is trying to grab that space.”
Paytm provided the option for corporations to create sub-wallets for various expenses such as food, fuel, and similar items. Leveraging the popularity of the app and its extensive network of merchants, employees found it convenient to access and use funds easily.
ALSO READ | Paytm Payments Bank update: RBI announces more steps for UPI customers using @paytm handle
Employee benefits industry: Margins, market size and compliance
The employee benefit industry presents an attractive opportunity for payment players, although profit margins in this segment are notably slim. To generate profits in this sector, companies often require ancillary services to supplement revenue. For Paytm, this niche business represented a small fraction of its broader fintech offerings, aiding its penetration into enterprises. Zaggle provides comprehensive spend management solutions, while Sodexo maintains diversified business interests spanning facilities management.
According to industry estimates, the current market size of this industry is approximately Rs 1 lakh crore in disbursements, benefiting roughly 15-18 million consumers. Some large companies make significant disbursements annually.
An executive was quoted anonymously saying that one of the largest financial services companies in the country disburses around Rs 1,500 crore every year to its employees, primarily for meal benefits.
The most critical aspect of this business is ensuring proper KYC of the final user, who is the employee, and guaranteeing that the funds are used at the appropriate places.
Raj Narayanam of Zaggle mentioned that tracking very small value payments based on merchant codes becomes challenging when using QR code-based payments. However, compliance is better managed through prepaid cards.
A senior HR executive at a large corporation stated that moving forward, most large companies will choose to engage with multiple vendors to mitigate the risk of disruption.
This person further added that banks are also advocating for sincere KYC of the final user of the wallet and clear understanding of its usage.",Times Of India
Adani invests $362 million to build two local defence factories,"Feb 27, 2024, 16:02 IST","Billionaire Gautam Adani’s conglomerate started two defense facilities in northern India this week at an investment of 30 billion rupees ($362 million), bolstering the country’s campaign to become self-reliant and promote local manufacturing.
Built by Adani Defence & Aerospace, a closely held firm in the Adani Group, at Kanpur in the Uttar Pradesh state across 500 acres, these factories will produce small, medium and large caliber ammunition for the armed forces, paramilitary forces and police, according to Karan Adani, founder’s son who’s overseeing the fledgling defense business.
TOP PICKS FOR YOU
Sania went for Khula divorce, but it's easier said than done
The 'dangerous' error that made Google say sorry to two tourists
WPL Live: RCB look to maintain winning momentum vs GG

The factories will produce 150 million rounds of ammunition annually — roughly a quarter of India’s requirements — and cater to the diverse needs of Indian Armed Forces, he said during the inauguration on Monday.
Karan Adani, chief executive director of Adani Ports and Special Economic Zone Ltd., at a news conference in Colombo, Sri Lanka, on November 8, 2023.
SPONSORED LINKS 
YOU MAY LIKE
A stranger listened to me via my laptop mic. Now I do this
Kaspersky
  by Taboola 
Prime Minister Narendra Modi has ratcheted up calls to boost indigenous manufacturing and reduce reliance on imports, creating business prospects worth billions of dollars for country’s conglomerates such as the Adani Group, Tata Group, Larsen & Toubro Ltd. and Mahindra Group.
India’s heavy dependence on imports for defense requirements has not only constrained country’s strategic autonomy but also limited its economic potential, said Adani, who’s also the chief executive officer of Adani Ports and Special Economic Zone Ltd.

The manufacturing facility, that is expected to create over 4,000 jobs, aims to produce 2,00,000 rounds annually of large caliber artillery and tank ammunition by 2025, and five million rounds of medium caliber ammunition a year later. It’ll also be capable of making short-range and long-range missiles.
Adani defence already manufactures drones, anti-drone systems and small arms including light machine guns, assault rifles and pistols, according to the company’s website.",Times Of India
The 'dangerous' Google Maps error that made Google say sorry to two tourists,"Updated: Feb 27, 2024, 12:30 IST","A seemingly routine road trip turned into a harrowing ordeal for two German tourists who found themselves stranded in the heart of Australia’s wilderness. The culprits? None other than Google Maps, which led them astray with a faulty route.
Philipp Maier and Marcel Schione were en route to the small town of Bamaga in Queensland’s northern region. Armed with the world’s most-used navigation app, they embarked on what should have been a straightforward drive.
However, Google Maps had other plans.
The app directed them onto a remote dirt road, which turned out to be the entrance to the Oyala Thumotang National Park. Unfortunately, the park had been closed to the public since December 2023 — something they had no idea about. As their vehicle sank into wet mud, they realized they were trapped—no cell service, no way out.
Stranded and desperate, the two tourists camped inside their bogged-down car for nearly a week. The duo tried to build a tent but that didn’t last for too long. With no rescue in sight, they decided to attempt to escape on foot, noted a report by Business Insider. Their journey was nothing short of a nightmare and they said that they certainly saw a crocodile in a creek.
SPONSORED LINKS 
YOU MAY LIKE
The Best Term Plan for all Age Groups !
HDFC Life Insurance
Get Quote
  by Taboola 
A Google spokesperson acknowledged the mishap, stating that the road in question had been removed from Google Maps. A spokesperson for Google told Business Insider: ""We apologise for this incident and are relieved that Philipp and Marcel are safe. We can confirm that this path has been removed from the map.""
As Maier aptly put it, ""We decided, 'OK, let's follow Google Maps because Google Maps knows maybe more than we know’,”. Clearly, Google Maps didn’t know more or what it knew proved rather tricky for the two tourists. Google utilises a variety of sources to keep its maps up-to-date, which encompass third-party information, user submissions, Street View, and satellite imagery. The company confirmed that it has removed the particular trail that led the two tourists astray.
Explore Your Financial Landscape with Personalized Credit Insights.",Times Of India
"How IIM Kozhikode's CEO Programme, with modules from Kellogg Executive Education, equips business leaders with a 360-degree transformation in leadership, AI applications & growth strategies","Updated: Feb 26, 2024, 14:23 IST","In the rapidly evolving landscape of business, CEOs are at the forefront of steering organisations through dynamic market shifts, geopolitical uncertainties, and the relentless march of disruptive technologies like AI and GenAI. While traditionally, a CEO had to steer their organisation with a keen focus on strategy, financial health, and operational efficiency, the contemporary business environment demands a much broader skill set.CEOs today find themselves needing to wear multiple hats to keep pace with the evolving technology and dynamic landscape. Beyond the traditional roles, modern CEOs are now also expected to be tech-savvy visionaries adept at harnessing the power of data analytics, artificial intelligence, and digital transformation. In essence, the expectations from CEOs have transformed, requiring them to be versatile leaders who can navigate the multifaceted challenges posed by the intersection of business and technology.
Looking at the need to equip modern-day CEOs with the right skill sets and exposure to evolving technologies, the Indian Institute of Management Kozhikode (IIMK) has introduced the Chief Executive Officer Programme– an innovative solution tailored to address the unique challenges faced by CEOs in today's competitive business environment. As part of this comprehensive program, participants have the exclusive opportunity to gain global excellence through modules from Kellogg Executive Education. Immersing themselves into the global cohorts of 'AI Applications for Growth' and 'Leading Growth Strategy,' participants can acquire nuanced perspectives, invaluable exposure, and the chance to network with esteemed professionals worldwide. This collaboration goes beyond traditional education, serving as a catalyst for the personal and professional transformation of CEOs and industry leaders. Programme takeaways include refining leadership styles, enhancing decision-making skills, and developing a truly global mindset.
More on programme features and highlights
This Chief Executive Officer Programme also offers two online modules from Kellogg Executive Education, through which learners will get global exposure with immersion into the global cohorts of 'AI Applications for Growth' and 'Leading Growth Strategy'. The programme curriculum is designed to meet the evolving journey of a modern CEO, covering negotiation, crisis leadership, corporate governance, cyber security, and sustainability. The programme not only equips CEOs with essential skills but also provides them with nuanced perspectives, exposure, and a global network essential for navigating the complexities of today's business environment.
Here are some of the key highlights of the programme that make it stand out:
IIM Kozhikode advantage: Ranked #3 among the top B-schools in India by NIRF 2023, IIM Kozhikode offers participants the prestigious Executive Alumni Status. The programme is delivered by leading faculty experts like Prof. Deepa Sethi and Prof. Deepak Dhayanithy.
Live learning & campus immersion: The programme offers a transformative learning experience that seamlessly blends live sessions led by IIMK's esteemed faculty and on-campus immersion.
Agile leadership development: Participants of the programme are shaped into agile leaders through a 3-day on-campus experience where they gain practical insights and hone their leadership skills.
Global exposure with Kellogg modules: The immersion of participants into the global cohorts of two Kellogg Executive Education modules gives participants global exposure.
Tailored curriculum for modern CEOs: With a comprehensive curriculum designed to meet the evolving needs of a modern CEO, the programme curriculum covers strategic essentials, innovative technologies, and essential soft skills for a well-rounded leadership development experience.
Executive Alumni Status and networking opportunities: On successful completion of the program, participants will receive the prestigious IIM Kozhikode Executive Alumni Status and the opportunity to build a powerful network by connecting with industry leaders within the esteemed alumni community.
Industry-recognised education: Having top-ranked IIM education on the resume is going to enhance further the credibility and professional standing of the programme participants.
Hands-on learning experience: The programme gives comprehensive learning opportunities with online lectures, business simulations, insights from industry practitioners and a capstone project guided by IIMK faculty.
What to expect & who should apply
The programme promises more than just education; it serves as a catalyst for personal and professional transformation. Participants can expect to refine their leadership style, enhance decision-making skills, and develop a global mindset.
The Chief Executive Officer Programme is tailored for functional and business leaders looking to advance to the highest level of leadership. It is ideal for existing CXOs, new CEOs, and for founders aiming to master next-level capabilities in strategic decision-making, productivity, AI-led transformation, and boardroom management.
Programme details
Programme start date: March 30, 2024
Mode & duration: 12 months.
Live online sessions with IIMK (3 hours per week, Sunday, 3.30 PM to 6.30 PM IST) and 2 online modules by Kellogg Executive Education.
Programme fee: INR 6,20,000 (Enrolment Benefit valid till March 01, 2024)
Eligibility: Graduate / Diploma holder with a minimum of 10 years of work experience
Last date to register: 01 March, 2024
In a nutshell
The Chief Executive Officer Programme by IIM Kozhikode is a unique opportunity for leaders to reframe their future and navigate the complexities of the modern business landscape. This program stands out not only for its comprehensive curriculum, covering negotiation, crisis leadership, corporate governance, cyber security, and sustainability, but also for its strategic collaboration with Kellogg Executive Education. By being a part of the global cohort for Kellogg modules on AI Applications and Growth Strategies, participants gain a global edge. To secure a spot and benefit from a reduced programme fee, interested professionals are encouraged to apply before the February 15, 2024, deadline. Enrol now to seize the opportunity to transform your leadership journey, gain nuanced perspectives, and emerge as a visionary leader with a global mindset in the competitive world of business.
Disclaimer: This article has been produced on behalf of Emeritus by Times Internet’s Spotlight team.",Times Of India
No venue found for public 'farewell' to Alexei Navalny,"Feb 27, 2024, 17:34 IST","NEW DELHI: Alexei Navalny's spokeswoman said on Tuesday that his allies had been unable to find a farewell hall in Russia to pay their condolences to the opposition leader who died in an Arctic prison colony earlier this month.
In a post on X, Kira Yarmysh said, ""Since yesterday we have been looking for a place where we can organize a farewell event for Alexey.
TOP PICKS FOR YOU
Sania went for Khula divorce, but it's easier said than done
The 'dangerous' error that made Google say sorry to two tourists
WPL Live: RCB look to maintain winning momentum vs GG
We have called most of the private and public funeral agencies, commercial venues and funeral halls.""

Highlighting that some ""funeral agencies were forbidden to work with us"", the spokeswoman further said, ""Some refuse when we mention the surname ""Navalny"". In one place, we were told that the funeral agencies were forbidden to work with us.""
SPONSORED LINKS 
YOU MAY LIKE
A stranger listened to me via my laptop mic. Now I do this
Kaspersky
  by Taboola 
""After a day of searching, we still haven’t found the farewell hall,"" she added.
Earlier on Tuesday, a close ally of late opposition leader Navalny urged Russians for an election day protest against President Vladimir Putin next month that Navalny had called for shortly before he died.
In a post on social media on February 1, Navalny had urged Russians to protest by turning out to vote at the same time, in the afternoon on March 17.
The Kremlin warned that anyone who responded to what it described as a ""provocative"" call from ""dangerous US-backed militants"" would face legal consequences.
Explore Your Financial Landscape with Personalized Credit Insights.",Times Of India
"Lok Sabha elections: AAP announces candidates for 4 Delhi seats, one in Haryana","Updated: Feb 27, 2024, 17:22 IST","NEW DELHI: The Aam Aadmi Party on Tuesday announced candidates for four Lok Sabha seats in Delhi and one in Haryana. The party will contest 4 out of 7 Lok Sabha seats in the national capital and 1 out of 10 in Haryana. The rest three seats in Delhi and nine in Haryana have gone to the Congress under the seat-sharing arrangement between the two parties.
The announcement was made after political affairs committee meeting of AAP chaired by Delhi chief minister Arvind Kejriwal.
TOP PICKS FOR YOU
Sania went for Khula divorce, but it's easier said than done
The 'dangerous' error that made Google say sorry to two tourists
WPL Live: RCB look to maintain winning momentum vs GG
The AAP candidates for national capital are:
New Delhi: Somnath Bharti
South Delhi: Sahi Ram
West Delhi: Mahabal Mishra
East Delhi: Kuldeep

In a first, AAP has nominated a person from SC community in East Delhi, which is a general category seat. Kejriwal claimed that this was a revolutionary step. The Delhi chief minister his party had done a similar thing in Punjab assembly polls where it fielded an SC candidate from Mohali - a general seat. AAP had won from Mohali.
SPONSORED LINKS 
YOU MAY LIKE
Hackers can take over your account - This is what you can do
Kaspersky
  by Taboola 
In Haryana, AAP state unit president and former Rajya Sabha MP Sushil Gupta will be contesting from Kurukshetra.
AAP is contesting 23 Lok Sabha seats across 5 states in the upcoming elections. It has already announced candidates for two seats Gujarat - Bharuch and Bhavnagar and three seats in Assam. In Punjab, where AAP has a government and Congress is the political rival, the two parties have decided to contest without an alliance.
Explore Your Financial Landscape with Personalized Credit Insights.",Times Of India
Govt to launch 'mera pehla vote desh ke liye' campaign,"Feb 27, 2024, 18:48 IST","NEW DELHI: The ministry of education is set to organise “Mera Pehla Vote Desh Ke Liye” in higher educational institutions across the country to ensure universal enlightened participation of youth in elections till March 6.
Union education minister Dharmendra Pradhan urged the youth of the nation to make their voices heard as he highlighted PM Narendra Modi’s clarion call to the youth and first-time voters to exercise their franchise in large numbers.
TOP PICKS FOR YOU
Sania went for Khula divorce, but it's easier said than done
The 'dangerous' error that made Google say sorry to two tourists
WPL Live: RCB look to maintain winning momentum vs GG

He informed that he had directed all HEIs in the country to conduct comprehensive voter awareness activities at their campuses, to galvanize the ‘Yuva Shakti’, emphasize to them the value of voting, making informed choices, and participating in electoral processes for a more representative democracy.
The initiative symbolizes the importance of Elections and the pride of voting in the largest democracy in the world.
SPONSORED LINKS 
YOU MAY LIKE
The Best Term Plan for all Age Groups !
HDFC Life Insurance
Get Quote
  by Taboola 
HEIs across the country will take part in the initiative. Designated spaces shall be identified in universities/ colleges/ HEIs where the voter awareness relation activities will be undertaken by respective institutions. The initiative will witness both on-ground physical events and online competitions on MyGov platform.
Additionally, the campaign will encourage youth to take the voter's pledge on the official website https://ecisveep.nic.in/pledge/ to further solidify their commitment to the electoral process.
NSS and its volunteers will lead the programme in educational institutions, with activities documented on the 'My Gov' portal for wider dissemination. Educational institution clubs will also participate in the campaign.
Explore Your Financial Landscape with Personalized Credit Insights.",Times Of India
'Address that elephant in the room': Former India batter hands reality check to English media after England defeat,"Feb 27, 2024, 17:01 IST","NEW DELHI: Skipper Ben Stokes has indicated that India's 3-1 lead in the five-match series may appear a one-sided affair but England fought toe to toe with the hosts and he is proud of his team's efforts.
Stokes' perspective has been widely backed by the English media hailing England's fighting approach that saw them seize opportunities in various sessions, even though the outcomes did not favour them.



SPONSORED LINKS 
YOU MAY LIKE
14 Most Embarrassing Moments On Live TV
investing.com
  by Taboola 
However, former India batter Aakash Chopra took on the English media for the narrative they sell and gave them a reality check for not addressing the root cause behind England's defeat.
Chopra pointed out in his tweet that England lost absolutely critical phases in the series. He further said that the English media is inclined to depict that Stokes and his team put up a closely contested battle against the Indian team.


""England lost many 'absolutely critical' phases in this Test series...phases where they needed to simply consolidate their position. Phases where they needed to build on the advantage. But that's the not the narrative that sells...what sells with the British media is that 'Nobody gave us a chance' 'Nobody beats India in India' 'See...we ran them close'. English middle-order (barring Pope and Root in one innings each) has capitulated on good pitches. Address that elephant in the room...but for that first admit that there's an elephant in the room,"" Chopra posted on X.
""3-1 doesn't look great, but the way in which we've come to India is what I'm most proud of,"" Stokes told British media.
""We didn't have a chance in hell of even competing with India. But even today(Monday), that wasn't an easy win for India, and I think they would admit that,"" he added.
India vs England 4th Test: India beat England, secure 17th straight Test series win at home

In the fourth Test, England tried to fashion a fight-back before India crossed the line on the fourth day in Ranchi. Chasing 192, India slipped to 120/5, before Shubman Gill and Dhruv Jurel stitched a 72-run unbroken partnership.
On numerous occasions in the series, England squandered several promising opportunities, with their batters exhibiting poor judgment and conceding the advantage to the hosts.
Opting to bat first, England had a first-innings lead of 46 but weren't able to capitalise on it as they were bowled out for just 145 in their second essay, undone by the Indian spin trio of Ravichandran Ashwin, Kuldeep Yadav and Ravindra Jadeja.
Explore Your Financial Landscape with Personalized Credit Insights.",Times Of India
